serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
m3wjc22wyh88,55.1676,1598855716173,1.103694,104,96971,58.78203,368.9748,97,773.8073,fFrU8brLxN5Wea7PQwJg,703,3,18.42485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,57.74427,1601859918426,1.218658,-167,95745,49.73394,475.2886,97,839.3569,I1t2t86ZQoGIAv1i30r9,0,3,22.12985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,32.35083,1601946323224,0.552405,-173,96480,55.01748,411.4215,88,526.3746,I1t2t86ZQoGIAv1i30r9,0,3,21.60985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,61.9884,1599623419464,0.932074,104,97686,55.05048,307.4746,97,664.8018,fFrU8brLxN5Wea7PQwJg,0,3,20.79485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,83.15022,1600002312265,0.890913,108,97751,54.97147,301.9015,97,652.8506,fFrU8brLxN5Wea7PQwJg,1597,3,25.38985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,25,1601372662120,0.5,-20,97178,36.34,351.1324,71,500,UefkqbOojs07AR21i0ix,856,0,27.64,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,37.95096,1600338618785,0.544641,-106,97263,45.01488,343.8147,97,522.6295,UefkqbOojs07AR21i0ix,640,1,26.79985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,58.30184,1601049012731,0.622978,-53,95482,40.36636,498.2388,88,558.189,UefkqbOojs07AR21i0ix,92,1,27.76485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,34.88059,1601772016142,0.541853,-47,94963,51.11547,543.678,68,521.2715,UefkqbOojs07AR21i0ix,0,1,18.69485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,99.31959,1601446213952,1.515466,-48,96967,58.52702,369.3202,100,983.5527,UefkqbOojs07AR21i0ix,66,3,21.36485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,25,1600145109922,0.5,-110,97487,55.83598,324.5547,97,500,UefkqbOojs07AR21i0ix,0,1,24.27485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,43.12716,1599447917274,0.671777,104,97194,56.8045,349.7547,97,578.145,fFrU8brLxN5Wea7PQwJg,0,3,19.21485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,122.3395,1600464616575,2.298184,108,97259,54.25546,344.1588,97,1259.012,fFrU8brLxN5Wea7PQwJg,11,3,23.75985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,107.3823,1602274822238,4.549161,-173,97347,53.01446,336.5884,53,1710.722,I1t2t86ZQoGIAv1i30r9,87,3,22.94485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,77.74276,1599889216790,1.06615,-137,97139,52.06295,354.4915,97,750.9128,So15xXTTj0GAoVeomUCA,751,3,23.17985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,147.3356,1598606715950,1.121506,-38,95896,41.25385,462.1353,97,784.3985,UefkqbOojs07AR21i0ix,1365,1,27.21985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,188.0992,1598952917118,157.0443,106,96893,46.14189,375.7066,97,4053.593,fFrU8brLxN5Wea7PQwJg,2994,3,25.41485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,25,1601455220084,0.5,-52,96927,54.70548,372.7717,98,500,UefkqbOojs07AR21i0ix,316,2,22.54985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,27.74296,1599816009044,0.530851,113,96946,50.06842,371.132,97,515.8433,fFrU8brLxN5Wea7PQwJg,1585,3,25.66485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,25,1601671207698,0.5,0,94091,55.6585,620.4777,80,500,UefkqbOojs07AR21i0ix,9,2,21.47485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,28.28069,1601989815625,0.523085,-10,96104,50.33095,444.0443,53,511.9435,UefkqbOojs07AR21i0ix,1330,3,22.53985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,74.39509,1601500825586,1.516485,111,96468,51.25895,412.4611,101,983.9976,fFrU8brLxN5Wea7PQwJg,0,3,22.54985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,137.1447,1599608113092,4.763511,104,97827,52.73346,295.3893,97,1741.18,fFrU8brLxN5Wea7PQwJg,0,3,21.99985,ztx11HwFoJPuDJd1p7lLilvvkjg2
,25,1598354712274,0.5,179,96682,36.75,393.9377,97,500,SAGvj9Ar25aG4i3Xxta1,2576,0,25.665,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,25,1599723329656,0.5,-143,97302,27.928,340.4587,97,500,So15xXTTj0GAoVeomUCA,4954,0,34.645,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,89.36732,1600964410637,0.764824,134,95761,39.41134,473.8947,90,612.4703,fFrU8brLxN5Wea7PQwJg,13,1,29.23985,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,25,1599698418697,0.5,69,97259,55.1635,344.1588,97,500,gbeSfksDVEIUEEz60y87,0,0,23.14,U6rvFKB7l8gOFQca1lMf8zP0i8X2
m3wjc22wyh88,56.10474,1600300216042,0.656657,106,97259,52.66095,344.1588,97,572.1211,fFrU8brLxN5Wea7PQwJg,0,3,23.43485,ztx11HwFoJPuDJd1p7lLilvvkjg2
